Year,Screening Window,Grade,Text Type,Reporting Category,Domain,% Beginning,% Developing,% Secure,Median Mastery %,Standard,Description
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.4.a,"Use context(e.g.,the overall meaning ofa sentence or paragraph; a word’s position orfunction in a sentence) as a clue to the
meaning ofa word or phrase."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.4.b,"Use common, grade-appropriateGreek or Latin affixes and roots as clues to the meaning ofa word (e.g., audience, auditor
audible)."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.4.c,"Consult reference materials (e.g., dictionaries, glossaries,thesauruses), both print and digital,to find the pronunciation ofa word
or determine or clarify its precise meaning orits part of speech."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.4.d,"Verify the preliminary determination ofthe meaning ofa word or phrase (e.g., by checking the inferred meaning in context or in a
dictionary)."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.5,"Demonstrate understanding offigurative language, word relationships, and nuances in word meanings."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.5.a,"Interpretfigures of speech (e.g., personification) in context."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.5.b,"Use the relationship between particularwords (e.g., cause/effect, part/whole, item/category) to better understand each of the
words."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.5.c,"Distinguish among the connotations (associations) ofwords with similar denotations (definitions) (e.g., stingy, scrimping,
economical, unwasteful,thrifty."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; independently
research words and gather vocabulary knowledge."
2024-2025,Spring,6,Literature,Reading,Key Ideas and Details,,,,,6.RL.1,"Cite textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the text, quoting or
paraphrasing as appropriate."
2024-2025,Spring,6,Literature,Reading,Key Ideas and Details,,,,,6.RL.2,"Determine a theme or central idea ofa text and how itis conveyed through particular details; provide a summary ofa text
distinctfrom personal opinions orjudgments."
2024-2025,Spring,6,Literature,Reading,Key Ideas and Details,,,,,6.RL.3,"Describe how the plot ofa particular story, poem, or drama unfolds in a series ofepisodes as well as how the characters respond
or change as the plot moves toward a resolution."
2024-2025,Spring,6,Literature,Reading,Craft and Structure,,,,,6.RL.4,"Determine the meaning ofwords and phrases as they are used in a text, including figurative and connotative meanings; analyze
the impact of specific word choices, including those that create repeated sounds and rhythms in poetry, on meaning,tone (i.e.,
author’s attitude toward subject or audience), or mood (i.e., emotional atmosphere)."
2024-2025,Spring,6,Literature,Reading,Craft and Structure,,,,,6.RL.5,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure ofa text and contributes to the
development of the theme, setting, or plot."
2024-2025,Spring,6,Literature,Reading,Craft and Structure,,,,,6.RL.6,Explain how an author develops the point ofview ofthe narrator or speakerin a text.
2024-2025,Spring,6,Literature,Reading,Integration of Knowledge and Ideas,,,,,6.RL.7,"Compare and contrastt he experience of reading a story, drama, or poem to that ofl istening to or viewing the same text."
2024-2025,Spring,6,Literature,Reading,Integration of Knowledge and Ideas,,,,,6.RL.9,"Compare and contrasttexts in differentforms or genres (e.g., stories and poems, historical novels and fantasy stories) in terms of
their approaches to similarthemes and topics."
2024-2025,Spring,6,Literature,Reading,Range of Reading and Level of Text Complexity,,,,,6.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety of genres, cultures, and perspectives
and exhibiting complexity appropriate for at least grade 6."
2024-2025,Spring,7,Informational Text,Reading,Key Ideas and Details,,,,,7.RI.1,"Cite several pieces of textual evidence to support analysis of what a text states explicitly as well as inferences drawn from the text,
quoting or paraphrasing as appropriate."
2024-2025,Spring,7,Informational Text,Reading,Key Ideas and Details,,,,,7.RI.2,"Determine a text’s central idea(s) and analyze its/their development overthe course ofthe text; provide an objective summary of
a text."
2024-2025,Spring,7,Informational Text,Reading,Key Ideas and Details,,,,,7.RI.3,"Analyze the interactions between individuals, events, and ideas in a text(e.g., how ideas influence individuals or events, or how
individuals influence ideas or events)."
2024-2025,Spring,7,Informational Text,Reading,Craft and Structure,,,,,7.RI.4,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical
meanings; analyze the impact ofa specific word choice on meaning and tone."
2024-2025,Spring,7,Informational Text,Reading,Craft and Structure,,,,,7.RI.5,"Analyze the structure an author uses to organize a text, including how the major sections and textfeatures (e.g., headings)
contribute to the whole and to the development ofthe ideas."
2024-2025,Spring,7,Informational Text,Reading,Craft and Structure,,,,,7.RI.6,"Determine an author’s point ofview or purpose in a text and analyze how the author distinguishes his or her position from that of
others."
2024-2025,Spring,7,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,7.RI.7,"Compare and contrast a written textto an audio, video, or multimedia version, analyzing each medium’s portrayal of the
subject(e.g., how the delivery ofa speech affects the impact ofthe words"
2024-2025,Spring,7,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,7.RI.8,"Trace and evaluate the argument and specific claims in a text, assessing whetherthe reasoning is sound and the evidence is
relevant and sufficientto support the claims"
2024-2025,Spring,7,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,7.RI.9,"Analyze how two or more authors writing aboutthe same topic shape their presentations ofkey information by emphasizing
different evidence or advancing differentinterpretations of facts"
2024-2025,Spring,7,Informational Text,Reading,Range of Reading and Level of Text Complexity,,,,,7.RI.10,"Independently and proficiently read and comprehend literary nonfiction representing a variety ofgenres, cultures, and
perspectives and exhibiting complexity appropriate for atleast grade 7."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 7 reading and content,
choosing flexibly from a range of strategies."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.4.a,"Use context(e.g.,the overall meaning ofa sentence or paragraph; a word’s position orfunction in a sentence) as a clue to the
meaning of a word or phrase."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.4.b,"Use common, grade-appropriateGreek or Latin affixes and roots as clues to the meaning ofa word (e.g., belligerent, bellicos
rebel)"
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries,thesauruses), both print and digital,to find the
pronunciation ofa word or determine or clarify its precise meaning orits part of speech.or determine or clarify its precise meaning or its part of speech."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.4.d,"Verify the preliminary determination ofthe meaning o fa word or phrase (e.g., by checking the inferred meaning in context or in a
dictionary)."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.5,"Demonstrate understanding offigurative language, word relationships, and nuances in word meanings."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.5.a,"Interpret figures of speech (e.g., literary, biblical, mythological allusions) in context."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.5.b,"Use the relationship between particularwords (e.g., synonym/antonym, analogy) to better understand each of the words."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.5.c,"Distinguish among the connotations (associations) ofwords with similar denotations (definitions) (e.g.,refined,respectful,
polite, diplomatic, condescending).economical, unwasteful,thrifty."
2024-2025,Spring,7,,Language,Vocabulary Acquisition and Use,,,,,7.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; independently
research words and gather vocabulary knowledge."
2024-2025,Spring,7,Literature,Reading,Key Ideas and Details,,,,,7.RL.1,"Cite several pieces oftextual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the text,
quoting or paraphrasing as appropriate."
2024-2025,Spring,7,Literature,Reading,Key Ideas and Details,,,,,7.RL.2,"Determine a theme or central idea ofa text and analyze its development overthe course ofthe text; provide an objective
summary of a text."
2024-2025,Spring,7,Literature,Reading,Key Ideas and Details,,,,,7.RL.3,"Analyze how particular elements ofa story, poem, or drama interact(e.g., how setting shapes the characters or plot)."
2024-2025,Spring,7,Literature,Reading,Craft and Structure,,,,,7.RL.4,"Determine the meaning ofwords and phrases as they are used in a text, including figurative and connotative meanings; analyze
the impact of specific word choices on meaning,tone, or mood, including the impact ofrepeated use of particular images."
2024-2025,Spring,7,Literature,Reading,Craft and Structure,,,,,7.RL.5,"Analyze how aspects ofa literary work’s structure contribute to its meaning or style (e.g.,the effect ofrepetition in an epic,
flashback in a novel, soliloquy in a drama)."
2024-2025,Spring,7,Literature,Reading,Craft and Structure,,,,,7.RL.6,Analyze how an author develops and contrasts the points ofview ofdifferent characters or narrators in a text.
2024-2025,Spring,7,Literature,Reading,Integration of Knowledge and Ideas,,,,,7.RL.7,"Compare and contrast a written story, drama, or poem to its audio, filmed, staged, or multimedia version."
2024-2025,Spring,7,Literature,Reading,Integration of Knowledge and Ideas,,,,,7.RL.9,"Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means
of understanding how authors offiction use or alter history."
2024-2025,Spring,7,Literature,Reading,Range of Reading and Level of Text Complexity,,,,,7.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety of genres, cultures, and perspectives
and exhibiting complexity appropriate for atleast grade 7."
2024-2025,Spring,8,Informational Text,Reading,Key Ideas and Details,,,,,8.RI.1,"Cite the textual evidence that most strongly supports an analysis ofwhat a text states explicitly as well as inferences drawn from the text, quoting or paraphrasing as appropriate."
2024-2025,Spring,8,Informational Text,Reading,Key Ideas and Details,,,,,8.RI.2,"Determine a text’s central idea(s) and analyze its/their development overthe course ofthe text, including relationships to supporting ideas; provide an objective summary ofa text."
2024-2025,Spring,8,Informational Text,Reading,Key Ideas and Details,,,,,8.RI.3,"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g.,through
comparisons, analogies, or categories)."
2024-2025,Spring,8,Informational Text,Reading,Craft and Structure,,,,,8.RI.4,"Determine the meaning ofwords and phrases as they are used in a text, including figurative, connotative, and technical
meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
2024-2025,Spring,8,Informational Text,Reading,Craft and Structure,,,,,8.RI.5,"Analyze in detailthe structural elements ofa text, including the role of specific sentences, paragraphs, and textfeatures in
developing and refining a key concept."
2024-2025,Spring,8,Informational Text,Reading,Craft and Structure,,,,,8.RI.6,"Determine an author’s point ofview or purpose in a text and analyze how the author acknowledges and responds to conflicting
evidence or viewpoints."
2024-2025,Spring,8,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,8.RI.7,"Evaluate the advantages and disadvantages ofusing different mediums (e.g., print or digitaltext, video, multimedia) to present
a particular topic or idea."
2024-2025,Spring,8,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,8.RI.8,"Delineate and evaluate the argument and specific claims in a text, assessing whetherthe reasoning is sound and the evidence is relevant and sufficient;recognize when irrelevant evidence is introduced."
2024-2025,Spring,8,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,8.RI.9,"Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts
disagree on matters offact orinterpretation."
2024-2025,Spring,8,Informational Text,Reading,Range of Reading and Level of Text Complexity,,,,,8.RI.10,"Independently and proficiently read and comprehend literary nonfiction representing a variety of genres, cultures, and
perspectives and exhibiting complexity appropriate for atleast grade 8."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 8 reading and content,
choosing flexibly from a range of strategies."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.4.a,"Use context(e.g.,the overall meaning ofa sentence or paragraph; a word’s position orfunction in a sentence) as a clue to the
meaning of a word or phrase."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.4.b,"Use common, grade-appropriateGreek or Latin affixes and roots as clues to the meaning ofa word (e.g., precede, recede
secede)."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries,thesauruses), both print and digital,to find the
pronunciation ofa word or determine or clarify its precise meaning orits part of speech.or determine or clarify its precise meaning or its part of speech."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.4.d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a
dictionary)."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.5,"Demonstrate understanding offigurative language, word relationships, and nuances in word meanings."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.5.a,"Interpretfigures of speech (e.g., verbal irony, puns) in context."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.5.b,Use the relationship between particularwords to better understand each ofthe words.
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.5.c,"Distinguish among the connotations (associations) ofwords with similar denotations (definitions) (e.g., bullheaded, willful, firm,
persistent,resolute)."
2024-2025,Spring,8,,Language,Vocabulary Acquisition and Use,,,,,8.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; independently
research words and gather vocabulary knowledge."
2024-2025,Spring,8,Literature,Reading,Key Ideas and Details,,,,,8.RL.1,"Cite the textual evidence that most strongly supports analysis ofwhat a text states explicitly as well as inferences drawn from the text, quoting or paraphrasing as appropriate."
2024-2025,Spring,8,Literature,Reading,Key Ideas and Details,,,,,8.RL.2,"Determine a theme or central idea ofa text and analyze its development overthe course ofthe text, including its relationship to
the characters, setting, and plot; provide an objective summary ofa text."
2024-2025,Spring,8,Literature,Reading,Key Ideas and Details,,,,,8.RL.3,"Analyze how particularlines ofdialogue orincidents in a story, poem, or drama propelthe action,reveal aspects ofa character,
or provoke a decision."
2024-2025,Spring,8,Literature,Reading,Craft and Structure,,,,,8.RL.4,"Determine the meaning ofwords and phrases as they are used in a text, including figurative and connotative meanings; analyze
the impact of specific word choices on meaning,tone, or mood, including the impact ofallusion and irony."
2024-2025,Spring,8,Literature,Reading,Craft and Structure,,,,,8.RL.5,"Compare and contrast the structures oftwo or more texts, analyzing how structure contributes to meaning and style in each text."
2024-2025,Spring,8,Literature,Reading,Craft and Structure,,,,,8.RL.6,"Analyze how differences in point of view between characters and audience (e.g., created through the use ofdramatic iron
create such effects as suspense or humor."
2024-2025,Spring,8,Literature,Reading,Integration of Knowledge and Ideas,,,,,8.RL.7,"Analyze the extentto which an audio, filmed, or staged production ofa story, drama, or poem stays faithfulto or departs from
the originaltext or script, evaluating the choices made by the director or performer(s)."
2024-2025,Spring,8,Literature,Reading,Integration of Knowledge and Ideas,,,,,8.RL.9,"Analyze how a modern work offiction draws on themes, patterns ofevents, or charactertypes from myths,traditional stories, or
religious works such as the Bible, including describing how the material is rendered new."
2024-2025,Spring,8,Literature,Reading,Range of Reading and Level of Text Complexity,,,,,8.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety ofgenres, cultures, and perspectives
and exhibiting complexity appropriate for at least grade 8."
2024-2025,Spring,9,Informational Text,Reading,Key Ideas and Details,,,,,9-10.RI.1,Cite strong and thorough textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the text.
2024-2025,Spring,9,Informational Text,Reading,Key Ideas and Details,,,,,9-10.RI.2,"Determine a central idea ofa text and analyze its development over the course ofthe text, including how it emerges and is
shaped and refined by specific details; provide an objective summary ofa text."
2024-2025,Spring,9,Informational Text,Reading,Key Ideas and Details,,,,,9-10.RI.3,"Analyze how an author unfolds an analysis or series ofideas or events, including the orderin which the points are made, how
they are introduced and developed, and the presence or absence ofconnections between them."
2024-2025,Spring,9,Informational Text,Reading,Craft and Structure,,,,,9-10.RI.4,"Determine the meaning(s) ofwords and phrases as they are used in a text, including figurative, connotative, and technical
meanings; analyze the cumulative or contradictory impact of specific word choices on meaning and tone (e.g., how the
language ofa court opinion differs from that ofa newspaper; how an author’s word choice varies from one part of a text to
another)."
2024-2025,Spring,9,Informational Text,Reading,Craft and Structure,,,,,9-10.RI.5,"Analyze in detail how an author’s ideas or claims are developed and refined by particular sentences, paragraphs, orlarge
portions ofa text(e.g., a section or chapter)."
2024-2025,Spring,9,Informational Text,Reading,Craft and Structure,,,,,9-10.RI.6,"Determine an author’s point ofview or purpose in a text and analyze how an author uses rhetoric to advance that point ofvie
or purpose."
2024-2025,Spring,9,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,9-10.RI.7,"Analyze various accounts ofa subjecttold in different mediums (e.g., a person’s life story in both print and multimedi
determining which details are emphasized or deemphasized in each account."
2024-2025,Spring,9,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,9-10.RI.8,"Delineate and evaluate the argument and specific claims in a text, assessing whetherthe reasoning is valid and the evidence is
relevant and sufficient; identify false statements orincomplete truths and fallacious reasoning."
2024-2025,Spring,9,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,9-10.RI.9,"Analyze seminal documents ofhistorical and literary significance (e.g.,Washington’s Farewell Address, Lincoln’s Second
Inaugural and Gettysburg Addresses, Roosevelt’s Four Freedoms speech, King’s “Letterfrom Birmingham Jail”), including h
they address related themes and concepts."
2024-2025,Spring,9,Informational Text,Reading,Range of Reading and Level of Text Complexity,,,,,9-10.RI.10,"Independently and proficiently read and comprehend literary nonfiction representing a variety ofgenres, cultures, and
perspectives and exhibiting complexity appropriate forthe grade/course."
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 9-10 reading and content,
choosing flexibly from a range of strategies."
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4.a,"Use context(e.g.,the overall meaning ofa sentence or paragraph; a word’s position orfunction in a sentence) as a clue to the
meaning of a word or phrase."
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4.b,"Identify and correctly use patterns ofword changes thatindicate different meanings or parts of speech (e.g., analyze, analysis
analytical; advocate, advocacy)."
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries,thesauruses), both print and digital,to find the
pronunciation ofa word or determine or clarify its precise meaning, its part of speech, orits etymology."
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4.d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a
dictionary)."
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.5,"Demonstrate understanding offigurative language, word relationships, and nuances in word meanings."
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.5.a,"Interpretfigures of speech (e.g., euphemism, oxymoron) in context and analyze theirrole in the text."
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.5.b,Analyze nuances in the meaning ofwords with similar denotations.
2024-2025,Spring,9,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; independently
research words and gather vocabulary knowledge."
2024-2025,Spring,9,Literature,Reading,Key Ideas and Details,,,,,9-10.RL.1,"Cite strong and thorough textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the
text."
2024-2025,Spring,9,Literature,Reading,Key Ideas and Details,,,,,9-10.RL.2,"Determine a theme or central idea ofa text and analyze in detail its development overthe course ofthe text, including how it
emerges and is shaped and refined by specific details; provide an objective summary ofa text."
2024-2025,Spring,9,Literature,Reading,Key Ideas and Details,,,,,9-10.RL.3,"Analyze how complex characters (e.g.,those with multiple or conflicting motivations) develop overthe course ofa text, interact
with other characters, and advance the plot or develop the theme."
2024-2025,Spring,9,Literature,Reading,Craft and Structure,,,,,9-10.RL.4,"Determine the figurative or connotative meaning(s) ofwords and phrases as they are used in a text; analyze the impact ofwords
with multiple meanings, as well as symbols or metaphors that extend throughout a text and shape its meaning."
2024-2025,Spring,9,Literature,Reading,Craft and Structure,,,,,9-10.RL.5,"Analyze how an author’s choices concerning how to structure a text, order events within it(e.g., parallel plots), and manipulat
time (e.g., pacing, flashbacks) create such effects as mystery,tension, or surprise."
2024-2025,Spring,9,Literature,Reading,Craft and Structure,,,,,9-10.RL.6,"Analyze a case in which a character’s point ofview and actions signal acceptance orrejection ofcultural norms orintellectua
ideas ofa period or place, drawing on a wide reading ofworld literature."
2024-2025,Spring,9,Literature,Reading,Integration of Knowledge and Ideas,,,,,9-10.RL.7,"Analyze a criticalresponse to a work or body ofliterature (e.g., author documentary, book review); provide a summary ofthe
argument presented and evaluate the strength ofthe evidence supporting it."
2024-2025,Spring,9,Literature,Reading,Integration of Knowledge and Ideas,,,,,9-10.RL.9,"Analyze how an author draws on and transforms source material in a specific work (e.g., how Shakespeare treats a theme or
topic from Ovid orthe Bible or how a later author draws on a play by Shakespeare)."
2024-2025,Spring,9,Literature,Reading,Range of Reading and Level of Text Complexity,,,,,9-10.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety ofgenres, cultures, and perspectives
and exhibiting complexity appropriate forthe grade/course. (See more on qualitative and quantitative dimensions of text
complexity.)"
2024-2025,Spring,10,Informational Text,Reading,Key Ideas and Details,,,,,9-10.RI.1,Cite strong and thorough textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the text.
2024-2025,Spring,10,Informational Text,Reading,Key Ideas and Details,,,,,9-10.RI.2,"Determine a central idea ofa text and analyze its development over the course ofthe text, including how it emerges and is
shaped and refined by specific details; provide an objective summary ofa text."
2024-2025,Spring,10,Informational Text,Reading,Key Ideas and Details,,,,,9-10.RI.3,"Analyze how an author unfolds an analysis or series ofideas or events, including the orderin which the points are made, how
they are introduced and developed, and the presence or absence ofconnections between them."
2024-2025,Spring,10,Informational Text,Reading,Craft and Structure,,,,,9-10.RI.4,"Determine the meaning(s) ofwords and phrases as they are used in a text, including figurative, connotative, and technical
meanings; analyze the cumulative or contradictory impact of specific word choices on meaning and tone (e.g., how the
language ofa court opinion differs from that ofa newspaper; how an author’s word choice varies from one part of a text to
another)."
2024-2025,Spring,10,Informational Text,Reading,Craft and Structure,,,,,9-10.RI.5,"Analyze in detail how an author’s ideas or claims are developed and refined by particular sentences, paragraphs, orlarge
portions ofa text(e.g., a section or chapter)."
2024-2025,Spring,10,Informational Text,Reading,Craft and Structure,,,,,9-10.RI.6,"Determine an author’s point ofview or purpose in a text and analyze how an author uses rhetoric to advance that point ofvie
or purpose."
2024-2025,Spring,10,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,9-10.RI.7,"Analyze various accounts ofa subjecttold in different mediums (e.g., a person’s life story in both print and multimedi
determining which details are emphasized or deemphasized in each account."
2024-2025,Spring,10,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,9-10.RI.8,"Delineate and evaluate the argument and specific claims in a text, assessing whetherthe reasoning is valid and the evidence is
relevant and sufficient; identify false statements orincomplete truths and fallacious reasoning."
2024-2025,Spring,10,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,9-10.RI.9,"Analyze seminal documents ofhistorical and literary significance (e.g.,Washington’s Farewell Address, Lincoln’s Second
Inaugural and Gettysburg Addresses, Roosevelt’s Four Freedoms speech, King’s “Letterfrom Birmingham Jail”), including h
they address related themes and concepts."
2024-2025,Spring,10,Informational Text,Reading,Range of Reading and Level of Text Complexity,,,,,9-10.RI.10,"Independently and proficiently read and comprehend literary nonfiction representing a variety ofgenres, cultures, and
perspectives and exhibiting complexity appropriate forthe grade/course."
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 9-10 reading and content,
choosing flexibly from a range of strategies."
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4.a,"Use context(e.g.,the overall meaning ofa sentence or paragraph; a word’s position orfunction in a sentence) as a clue to the
meaning of a word or phrase."
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4.b,"Identify and correctly use patterns ofword changes thatindicate different meanings or parts of speech (e.g., analyze, analysis
analytical; advocate, advocacy)."
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries,thesauruses), both print and digital,to find the
pronunciation ofa word or determine or clarify its precise meaning, its part of speech, orits etymology."
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.4.d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a
dictionary)."
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.5,"Demonstrate understanding offigurative language, word relationships, and nuances in word meanings."
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.5.a,"Interpretfigures of speech (e.g., euphemism, oxymoron) in context and analyze theirrole in the text."
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.5.b,Analyze nuances in the meaning ofwords with similar denotations.
2024-2025,Spring,10,,Language,Vocabulary Acquisition and Use,,,,,9-10.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; independently
research words and gather vocabulary knowledge."
2024-2025,Spring,10,Literature,Reading,Key Ideas and Details,,,,,9-10.RL.1,"Cite strong and thorough textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the
text."
2024-2025,Spring,10,Literature,Reading,Key Ideas and Details,,,,,9-10.RL.2,"Determine a theme or central idea ofa text and analyze in detail its development overthe course ofthe text, including how it
emerges and is shaped and refined by specific details; provide an objective summary ofa text."
2024-2025,Spring,10,Literature,Reading,Key Ideas and Details,,,,,9-10.RL.3,"Analyze how complex characters (e.g.,those with multiple or conflicting motivations) develop overthe course ofa text, interact
with other characters, and advance the plot or develop the theme."
2024-2025,Spring,10,Literature,Reading,Craft and Structure,,,,,9-10.RL.4,"Determine the figurative or connotative meaning(s) ofwords and phrases as they are used in a text; analyze the impact ofwords
with multiple meanings, as well as symbols or metaphors that extend throughout a text and shape its meaning."
2024-2025,Spring,10,Literature,Reading,Craft and Structure,,,,,9-10.RL.5,"Analyze how an author’s choices concerning how to structure a text, order events within it(e.g., parallel plots), and manipulat
time (e.g., pacing, flashbacks) create such effects as mystery,tension, or surprise."
2024-2025,Spring,10,Literature,Reading,Craft and Structure,,,,,9-10.RL.6,"Analyze a case in which a character’s point ofview and actions signal acceptance orrejection ofcultural norms orintellectua
ideas ofa period or place, drawing on a wide reading ofworld literature."
2024-2025,Spring,10,Literature,Reading,Integration of Knowledge and Ideas,,,,,9-10.RL.7,"Analyze a criticalresponse to a work or body ofliterature (e.g., author documentary, book review); provide a summary ofthe
argument presented and evaluate the strength ofthe evidence supporting it."
2024-2025,Spring,10,Literature,Reading,Integration of Knowledge and Ideas,,,,,9-10.RL.9,"Analyze how an author draws on and transforms source material in a specific work (e.g., how Shakespeare treats a theme or
topic from Ovid orthe Bible or how a later author draws on a play by Shakespeare)."
2024-2025,Spring,10,Literature,Reading,Range of Reading and Level of Text Complexity,,,,,9-10.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety ofgenres, cultures, and perspectives
and exhibiting complexity appropriate forthe grade/course. (See more on qualitative and quantitative dimensions of text
complexity.)"
